StdID,StDName,Sex,Percentage,Class,Sec,Stream1,DOB
1001,"Surekha joshi",FEMALE,82,12,A,science,1998-03-08
1002,"Maahi agrawal",FEMALE,56,11,C,Commerce,2008-11-23
1003,"Sanam verma",MALE,59,11,C,Commerce,2006-06-29
1004,"Ronit Kumar'",MALE,63,11,C,Commerce,1997-11-05
1005,"Dipesh Pulkit",MALE,78,11,B,science,2003-09-14
1006,"Jahanvi Puri ",FEMALE,60,11,B,Commerce,2008-11-07
1007,"Sanam kumar",MALE,23,12,F,Commerce,1998-03-08
1008,"Sahil Saras",MALE,56,11,C,Commerce,2008-11-07
1009,"Akshra Agrawal",FEMALE,72,12,B,Commerce,1996-10-01
1010,"Stuti Mishra",FEMALE,39,11,F,science,2008-11-23
1011,"Harsh Agrawal",MALE,42,11,C,science,1998-03-08
1012,"Nikunj Agrawal",MALE,49,12,C,Commerce,1998-06-28
1013,"Akriti saxena",FEMALE,89,12,A,science,2008-11-23
1014,"Tani Rastogi ",FEMALE,82,12,A,science,2008-11-23
